Altium Designer Pick and Place Locations
C:\Users\brandon.dixon\Git\visor\hardware\cots\Project Outputs for 7798-20-0228\Pick Place for 7798-20-0228.csv

========================================================================================================================
File Design Information:

Date:       24/09/18
Time:       09:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U101","LP5912-1.5","TopLayer","DRV0006A","2666.000","1150.063","360","500-mA Low-Noise, Low-IQ LDO"
"U103","LP5912-2.8","TopLayer","DRV0006A","2664.000","564.583","360","500-mA Low-Noise, Low-IQ LDO"
"R103","CRCW040210K0FKEDHP","TopLayer","0402","2579.000","569.582","270","0.125W, -55-155C, 1005, 50V, ±1%"
"C107","GRM31CR71H475KA12L","TopLayer","1206","2499.000","534.583","90","-55-125C, 3216, 50V, X7R, ±10%"
"C106","GRM31CR71H475KA12L","TopLayer","1206","2810.000","565.000","180","-55-125C, 3216, 50V, X7R, ±10%"
"C104","GRM31CR71H475KA12L","TopLayer","1206","2815.000","758.000","180","-55-125C, 3216, 50V, X7R, ±10%"
"C105","GRM31CR71H475KA12L","TopLayer","1206","2503.000","728.000","90","-55-125C, 3216, 50V, X7R, ±10%"
"R102","CRCW040210K0FKEDHP","TopLayer","0402","2583.000","763.000","270","0.125W, -55-155C, 1005, 50V, ±1%"
"U102","LP5912-2.8","TopLayer","DRV0006A","2668.000","758.000","360","500-mA Low-Noise, Low-IQ LDO"
"C6","GRM31CR71H475KA12L","BottomLayer","1206","1865.000","1635.000","180","-55-125C, 3216, 50V, X7R, ±10%"
"C4","GRM31CR71H475KA12L","BottomLayer","1206","1865.000","1555.000","180","-55-125C, 3216, 50V, X7R, ±10%"
"U5","RUM002N05T2L","TopLayer","RUM002N05T2L","1525.000","195.000","270","MOSFET N-CH 50V 0.2A 3VMT"
"U400","AXK724147G","TopLayer","AXK724147G","3125.000","210.000","180","CONN SOCKET P4 .4MM 24POS SMD"
